program|rundate|runtime
EURO_DP_BATCH_M01.ksh|10/18/2015|15.0428
EURO_DP_BATCH_M01.ksh|10/11/2015|12.7489
EURO_DP_BATCH_M01.ksh|10/04/2015|12.5906
EURO_DP_BATCH_M01.ksh|09/27/2015|14.0403
EURO_DP_BATCH_M01.ksh|09/20/2015|12.7608
EURO_DP_BATCH_M01.ksh|09/13/2015|12.9858
EURO_DP_BATCH_M01.ksh|09/06/2015|12.7725
EURO_DP_BATCH_M01.ksh|08/30/2015|12.5536
EURO_DP_BATCH_M01.ksh|08/23/2015|12.5128
EURO_DP_BATCH_M01.ksh|08/16/2015|12.2994
EURO_DP_BATCH_M01.ksh|08/09/2015|12.2236
EURO_DP_BATCH_M01.ksh|08/02/2015|13.3911
EURO_DP_BATCH_M01.ksh|07/19/2015|12.6708
EURO_DP_BATCH_M01.ksh|07/12/2015|12.7842
EURO_DP_BATCH_M01.ksh|07/05/2015|12.6667
EURO_DP_BATCH_M01.ksh|06/28/2015|12.5456
EURO_DP_BATCH_M01.ksh|06/21/2015|12.73
EURO_DP_BATCH_M01.ksh|06/14/2015|12.3242
EURO_DP_BATCH_M01.ksh|06/07/2015|12.1706
EURO_DP_BATCH_M01.ksh|05/24/2015|12.3047
EURO_DP_BATCH_M01.ksh|05/17/2015|11.9583
EURO_DP_BATCH_M01.ksh|05/10/2015|11.9531
EURO_DP_BATCH_M01.ksh|05/03/2015|12.3778
EURO_DP_BATCH_M01.ksh|04/19/2015|12.0306
EURO_DP_BATCH_M01.ksh|04/12/2015|12.2264
EURO_DP_BATCH_M01.ksh|04/05/2015|11.7764
EURO_DP_BATCH_M01.ksh|03/29/2015|12.3633
EURO_DP_BATCH_M01.ksh|03/22/2015|11.9811
EURO_DP_BATCH_M01.ksh|03/15/2015|12.3186
EURO_DP_BATCH_M01.ksh|03/08/2015|11.6889
EURO_DP_BATCH_M01.ksh|03/01/2015|12.5744
EURO_DP_BATCH_M01.ksh|02/22/2015|12.1172
EURO_DP_BATCH_M01.ksh|02/15/2015|12.1153
EURO_DP_BATCH_M01.ksh|02/08/2015|12.0803
EURO_DP_BATCH_M01.ksh|02/01/2015|12.5311
EURO_DP_BATCH_M01.ksh|01/25/2015|11.9833
EURO_DP_BATCH_M01.ksh|01/11/2015|11.5617
EURO_DP_BATCH_M01.ksh|01/04/2015|11.5064
EURO_DP_BATCH_M01.ksh|12/28/2014|11.5692
EURO_DP_BATCH_M01.ksh|12/21/2014|11.7908
EURO_DP_BATCH_M01.ksh|12/14/2014|12.4944
EURO_DP_BATCH_M01.ksh|12/07/2014|11.9753
EURO_DP_BATCH_M01.ksh|11/30/2014|12.2794
EURO_DP_BATCH_M01.ksh|11/23/2014|11.9353
EURO_DP_BATCH_M01.ksh|11/16/2014|11.7058
EURO_DP_BATCH_M01.ksh|11/09/2014|11.9361
EURO_DP_BATCH_M01.ksh|11/02/2014|12.0364
EURO_DP_BATCH_M01.ksh|10/26/2014|11.69
EURO_DP_BATCH_M01.ksh|10/19/2014|11.4567
EURO_DP_BATCH_M01.ksh|10/12/2014|11.6544
EURO_DP_BATCH_M01.ksh|10/05/2014|11.5417
EURO_DP_BATCH_M01.ksh|09/28/2014|11.4642
EURO_DP_BATCH_M01.ksh|09/07/2014|11.5431
EURO_DP_BATCH_M01.ksh|08/31/2014|11.8897
EURO_DP_BATCH_M01.ksh|08/24/2014|11.8392
EURO_DP_BATCH_M01.ksh|08/17/2014|11.9294
EURO_DP_BATCH_M01.ksh|08/10/2014|12.19
EURO_DP_BATCH_M01.ksh|08/03/2014|12.6064
EURO_DP_BATCH_M01.ksh|07/27/2014|12.2458
EURO_DP_BATCH_M01.ksh|07/20/2014|11.8878
EURO_DP_BATCH_M01.ksh|07/06/2014|12.1056
EURO_DP_BATCH_M01.ksh|06/29/2014|11.9333
EURO_DP_BATCH_M01.ksh|06/22/2014|11.9369
EURO_DP_BATCH_M01.ksh|06/15/2014|12.0275
EURO_DP_BATCH_M01.ksh|06/08/2014|12.25
EURO_DP_BATCH_M01.ksh|05/25/2014|12.7458
EURO_DP_BATCH_M01.ksh|05/18/2014|12.2114
EURO_DP_BATCH_M01.ksh|05/11/2014|11.9883
EURO_DP_BATCH_M01.ksh|05/04/2014|11.8306
EURO_DP_BATCH_M01.ksh|04/13/2014|11.6797
EURO_DP_BATCH_M01.ksh|04/06/2014|11.5825
EURO_DP_BATCH_M01.ksh|03/30/2014|11.6744
EURO_DP_BATCH_M01.ksh|03/23/2014|11.3286
EURO_DP_BATCH_M01.ksh|03/16/2014|11.3919
EURO_DP_BATCH_M01.ksh|03/09/2014|11.2528
EURO_DP_BATCH_M01.ksh|03/02/2014|11.5422
EURO_DP_BATCH_M01.ksh|02/23/2014|11.3944
EURO_DP_BATCH_M01.ksh|02/16/2014|11.0381
EURO_DP_BATCH_M01.ksh|02/09/2014|11.1328
EURO_DP_BATCH_M01.ksh|02/02/2014|11.4078
EURO_DP_BATCH_M01.ksh|01/26/2014|11.0289
EURO_DP_BATCH_M01.ksh|01/19/2014|11.4344
EURO_DP_BATCH_M01.ksh|01/12/2014|11.515
EURO_DP_BATCH_M01.ksh|01/05/2014|10.9125
EURO_DP_BATCH_M01.ksh|12/29/2013|10.8675
EURO_DP_BATCH_M01.ksh|12/22/2013|11.3861
EURO_DP_BATCH_M01.ksh|12/15/2013|12.1153
EURO_DP_BATCH_M01.ksh|11/17/2013|10.6942
EURO_DP_BATCH_M01.ksh|11/03/2013|10.7225
EURO_DP_BATCH_M01.ksh|10/27/2013|9.6911
EURO_DP_BATCH_M01.ksh|10/20/2013|9.3644
EURO_DP_BATCH_M01.ksh|10/13/2013|9.4044
EURO_DP_BATCH_M01.ksh|10/06/2013|8.6242
EURO_DP_BATCH_M01.ksh|09/29/2013|8.7072
EURO_DP_BATCH_M01.ksh|09/22/2013|8.4269
EURO_DP_BATCH_M01.ksh|09/15/2013|8.8408
EURO_DP_BATCH_M01.ksh|09/08/2013|8.7092
EURO_DP_BATCH_M01.ksh|09/01/2013|9.1158
EURO_DP_BATCH_M01.ksh|08/25/2013|8.9892
EURO_DP_BATCH_M01.ksh|08/18/2013|8.9572
EURO_DP_BATCH_M01.ksh|08/11/2013|8.9547
EURO_DP_BATCH_M01.ksh|08/04/2013|8.9136
EURO_DP_BATCH_M01.ksh|07/28/2013|8.9725
EURO_DP_BATCH_M01.ksh|07/21/2013|9.6133
EURO_DP_BATCH_M01.ksh|07/14/2013|9.5486
EURO_DP_BATCH_M01.ksh|07/07/2013|9.45
EURO_DP_BATCH_M01.ksh|06/30/2013|9.4653
EURO_DP_BATCH_M01.ksh|06/23/2013|10.2056
EURO_DP_BATCH_M01.ksh|06/16/2013|10.05
EURO_DP_BATCH_M01.ksh|06/09/2013|10.2267
EURO_DP_BATCH_M01.ksh|06/02/2013|9.8861
EURO_DP_BATCH_M01.ksh|05/26/2013|9.8294
EURO_DP_BATCH_M01.ksh|05/19/2013|9.8264
EURO_DP_BATCH_M01.ksh|05/12/2013|9.8439
EURO_DP_BATCH_M01.ksh|05/05/2013|11.3897
EURO_DP_BATCH_M01.ksh|04/28/2013|12.2828
EURO_DP_BATCH_M01.ksh|04/21/2013|13.4147
EURO_DP_BATCH_M01.ksh|04/14/2013|10.3686
EURO_DP_BATCH_M01.ksh|04/07/2013|9.8058
EURO_DP_BATCH_M01.ksh|03/31/2013|8.6881
EURO_DP_BATCH_M01.ksh|03/24/2013|8.5225
EURO_DP_BATCH_M01.ksh|03/17/2013|8.5164
EURO_DP_BATCH_M01.ksh|03/10/2013|8.8069
EURO_DP_BATCH_M01.ksh|03/03/2013|8.5489
EURO_DP_BATCH_M01.ksh|02/24/2013|8.4758
EURO_DP_BATCH_M01.ksh|02/17/2013|8.5997
EURO_DP_BATCH_M01.ksh|02/10/2013|8.5303
EURO_DP_BATCH_M01.ksh|02/03/2013|8.3883
EURO_DP_BATCH_M01.ksh|01/27/2013|8.6356
EURO_DP_BATCH_M01.ksh|01/20/2013|8.4506
EURO_DP_BATCH_M01.ksh|01/13/2013|8.5725
EURO_DP_BATCH_M01.ksh|12/30/2012|11.8517
EURO_DP_BATCH_M01.ksh|12/23/2012|11.7647
EURO_DP_BATCH_M01.ksh|12/16/2012|12.0489
EURO_DP_BATCH_M01.ksh|12/09/2012|11.9244
EURO_DP_BATCH_M01.ksh|12/02/2012|12.8253
EURO_DP_BATCH_M01.ksh|11/25/2012|13.0644
EURO_DP_BATCH_M01.ksh|11/18/2012|12.4064
EURO_DP_BATCH_M01.ksh|11/11/2012|12.0947
EURO_DP_BATCH_M01.ksh|11/04/2012|11.6464
EURO_DP_BATCH_M01.ksh|10/28/2012|12.0147
EURO_DP_BATCH_M01.ksh|10/21/2012|12.7606
EURO_DP_BATCH_M01.ksh|10/14/2012|11.9433
EURO_DP_BATCH_M01.ksh|10/07/2012|10.7367
EURO_DP_BATCH_M01.ksh|09/30/2012|13.4564
EURO_DP_BATCH_M01.ksh|09/23/2012|10.9986
EURO_DP_BATCH_M01.ksh|09/16/2012|10.9919
EURO_DP_BATCH_M01.ksh|09/09/2012|11.37
EURO_DP_BATCH_M01.ksh|09/02/2012|12.1942
EURO_DP_BATCH_M01.ksh|08/26/2012|10.7953
EURO_DP_BATCH_M01.ksh|08/19/2012|10.3964
EURO_DP_BATCH_M01.ksh|08/12/2012|10.645
EURO_DP_BATCH_M01.ksh|07/29/2012|13.7067
